cve_ent,cve_mun,cve_loc,nom_loc
"01	","000	","0000	","Aguascalientes"
"01	","001	","0000	","Aguascalientes"
"01	","001	","0001	","Aguascalientes"
"01	","001	","0146	","El Conejal"
"01	","001	","0237	","Jaltomate"
"01	","001	","0239	","General José María Morelos y Pavón (Cañada Honda)"
"01	","001	","0272	","Matamoros [Congregación]"
"01	","001	","0293	","Norias de Ojocaliente"
"01	","001	","0355	","El Salto de los Salado"
"01	","001	","0367	","San Antonio de Peñuelas"
"01	","001	","0389	","San José de la Ordeña"
"01	","001	","0429	","Santa María de Gallardo"
"01	","001	","0479	","Villa Licenciado Jesús Terán (Calvillito)"
"01	","001	","0866	","Montoro (Mesa del Salto)"
"01	","001	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","001	","9999	","Localidad no especificada"
"01	","002	","0000	","Asientos"
"01	","002	","0001	","Asientos"
"01	","002	","0005	","Amarillas de Esparza"
"01	","002	","0007	","Bimbaletes Aguascalientes (El Álamo)"
"01	","002	","0011	","Ciénega Grande"
"01	","002	","0014	","Crisóstomos"
"01	","002	","0017	","La Dichosa"
"01	","002	","0021	","Las Fraguas"
"01	","002	","0023	","La Gloria"
"01	","002	","0025	","Guadalupe de Atlas"
"01	","002	","0027	","Jarillas"
"01	","002	","0030	","Lázaro Cárdenas"
"01	","002	","0033	","Molinos"
"01	","002	","0035	","Noria del Borrego (Norias)"
"01	","002	","0045	","El Salitre"
"01	","002	","0047	","San Gil"
"01	","002	","0048	","San José del Río"
"01	","002	","0054	","Tanque Viejo"
"01	","002	","0058	","El Tule"
"01	","002	","0059	","Villa Juárez"
"01	","002	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","002	","9999	","Localidad no especificada"
"01	","003	","0000	","Calvillo"
"01	","003	","0001	","Calvillo"
"01	","003	","0020	","Colomos"
"01	","003	","0021	","El Cuervero (Cuerveros)"
"01	","003	","0024	","Chiquihuitero (San Isidro)"
"01	","003	","0032	","Jaltiche de Abajo"
"01	","003	","0033	","Jaltiche de Arriba"
"01	","003	","0036	","La Labor"
"01	","003	","0043	","Malpaso"
"01	","003	","0047	","Mesa Grande"
"01	","003	","0055	","Ojocaliente"
"01	","003	","0060	","La Panadera"
"01	","003	","0069	","Presa de los Serna"
"01	","003	","0074	","La Rinconada"
"01	","003	","0078	","El Rodeo"
"01	","003	","0079	","El Salitre"
"01	","003	","0083	","San Nicolás"
"01	","003	","0084	","San Tadeo"
"01	","003	","0094	","La Teresa"
"01	","003	","0110	","Crucero las Pilas"
"01	","003	","0222	","Valle Huejúcar [Fraccionamiento Popular]"
"01	","003	","0382	","La Fortuna"
"01	","003	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","003	","9999	","Localidad no especificada"
"01	","004	","0000	","Cosío"
"01	","004	","0001	","Cosío"
"01	","004	","0025	","El Refugio de Providencia (Providencia)"
"01	","004	","0026	","La Punta"
"01	","004	","0028	","El Refugio de Agua Zarca"
"01	","004	","0030	","El Salero"
"01	","004	","0032	","Santa María de la Paz"
"01	","004	","0034	","Soledad de Arriba"
"01	","004	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","005	","0000	","Jesús María"
"01	","005	","0001	","Jesús María"
"01	","005	","0041	","Jesús Gómez Portugal (Margaritas)"
"01	","005	","0050	","Maravillas"
"01	","005	","0104	","Tapias Viejas"
"01	","005	","0468	","Arboledas Paso Blanco [Fraccionamiento]"
"01	","005	","0471	","Santa Clara [Hípica]"
"01	","005	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","005	","9999	","Localidad no especificada"
"01	","006	","0000	","Pabellón de Arteaga"
"01	","006	","0001	","Pabellón de Arteaga"
"01	","006	","0002	","Las Ánimas"
"01	","006	","0007	","Emiliano Zapata"
"01	","006	","0024	","Ojo Zarco [Colonia]"
"01	","006	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","006	","9999	","Localidad no especificada"
"01	","007	","0000	","Rincón de Romos"
"01	","007	","0001	","Rincón de Romos"
"01	","007	","0030	","Pabellón de Hidalgo"
"01	","007	","0040	","San Jacinto"
"01	","007	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","007	","9999	","Localidad no especificada"
"01	","008	","0000	","San José de Gracia"
"01	","008	","0001	","San José de Gracia"
"01	","008	","0018	","Paredes"
"01	","008	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","009	","0000	","Tepezalá"
"01	","009	","0001	","Tepezalá"
"01	","009	","0004	","Los Alamitos"
"01	","009	","0005	","Arroyo Hondo"
"01	","009	","0012	","El Chayote"
"01	","009	","0015	","Mesillas"
"01	","009	","0016	","Ojo de Agua de los Montes"
"01	","009	","0019	","El Porvenir"
"01	","009	","0025	","San Antonio"
"01	","009	","0030	","La Victoria"
"01	","009	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","009	","9999	","Localidad no especificada"
"01	","010	","0000	","El Llano"
"01	","010	","0001	","Palo Alto"
"01	","010	","0027	","Francisco Sarabia (La Reforma)"
"01	","010	","0039	","Licenciado Jesús Terán (El Muerto)"
"01	","010	","0041	","Lomas del Refugio (La Loma)"
"01	","010	","0042	","La Luz"
"01	","010	","0057	","El Novillo"
"01	","010	","0107	","Santa Rosa (El Huizache)"
"01	","010	","0119	","La Tinaja"
"01	","010	","0213	","El Llano [CERESO]"
"01	","010	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","010	","9999	","Localidad no especificada"
"01	","011	","0000	","San Francisco de los Romo"
"01	","011	","0001	","San Francisco de los Romo"
"01	","011	","0011	","Macario J. Gómez [Colonia]"
"01	","011	","0012	","La Concepción"
"01	","011	","0021	","La Escondida (El Salero)"
"01	","011	","0042	","Loretito (Charco del Toro)"
"01	","011	","0052	","Paseos de la Providencia [Fraccionamiento]"
"01	","011	","0053	","Puertecito de la Virgen"
"01	","011	","0128	","Ex-Viñedos Guadalupe"
"01	","011	","0138	","La Ribera [Fraccionamiento]"
"01	","011	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","011	","9999	","Localidad no especificada"
"01	","999	","0000	","Municipio no especificado"
"01	","999	","9999	","Localidad no especificada"
"02	","000	","0000	","Baja California"
"02	","001	","0000	","Ensenada"
"02	","001	","0001	","Ensenada"
"02	","001	","0114	","Francisco Zarco (Valle de Guadalupe)"
"02	","001	","0139	","Rodolfo Sánchez Taboada (Maneadero)"
"02	","001	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","001	","9999	","Localidad no especificada"
"02	","002	","0000	","Mexicali"
"02	","002	","0001	","Mexicali"
"02	","002	","0110	","Colonia Venustiano Carranza (La Carranza)"
"02	","002	","0111	","Vicente Guerrero (Algodones)"
"02	","002	","0117	","Colonia Silva Noroeste"
"02	","002	","0143	","Ejido Colima 1"
"02	","002	","0152	","Ejido Cucapah Indígena"
"02	","002	","0157	","Ejido Chiapas 1"
"02	","002	","0159	","Delta (Estación Delta)"
"02	","002	","0166	","Veracruz Uno"
"02	","002	","0169	","Ejido Durango"
"02	","002	","0183	","Ejido Guadalajara"
"02	","002	","0185	","Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres)"
"02	","002	","0189	","Ejido Vicente Guerrero"
"02	","002	","0192	","Ejido Hermosillo"
"02	","002	","0206	","Ejido Jiquilpan"
"02	","002	","0212	","Poblado Lázaro Cárdenas (La Veintiocho)"
"02	","002	","0225	","Michoacán de Ocampo"
"02	","002	","0227	","Ejido Sinaloa (Estación Kasey)"
"02	","002	","0231	","Ciudad Morelos (Cuervos)"
"02	","002	","0234	","Nayarit Llamada"
"02	","002	","0251	","Ejido Pátzcuaro"
"02	","002	","0253	","Ejido Toluca"
"02	","002	","0256	","Estación Pescaderos (Kilómetro Treinta y Nueve)"
"02	","002	","0258	","Ejido Plan de Ayala"
"02	","002	","0266	","Colonia la Puerta"
"02	","002	","0268	","Ejido Hechicera"
"02	","002	","0270	","Ejido Quintana Roo"
"02	","002	","0282	","Ejido Saltillo"
"02	","002	","0291	","Ejido Sonora"
"02	","002	","0394	","Ricardo Mazón Guerrero (Colonia Baja California el Polvorín)"
"02	","002	","0395	","Francisco Murguía (Kilómetro Cuarenta y Nueve)"
"02	","002	","0456	","Benito Juárez (Ejido Tecolotes)"
"02	","002	","0461	","Ciudad Coahuila (Kilómetro Cincuenta y Siete)"
"02	","002	","0531	","El Chimí (Ejido Nuevo León)"
"02	","002	","1195	","Ejido Doctor Alberto Oviedo Mota (El Indiviso)"
"02	","002	","1284	","Ejido Veracruz Dos"
"02	","002	","1369	","Colonia Miguel Alemán"
"02	","002	","1651	","Chiapas 2"
"02	","002	","1778	","Familia Avilés (Ejido Tabasco)"
"02	","002	","2135	","Familia González (Ejido Querétaro)"
"02	","002	","2982	","Zona del Canal (Colonia Chapultepec)"
"02	","002	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","002	","9999	","Localidad no especificada"
"02	","003	","0000	","Tecate"
"02	","003	","0001	","Tecate"
"02	","003	","0107	","La Rumorosa"
"02	","003	","0139	","Valle de las Palmas"
"02	","003	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","003	","9999	","Localidad no especificada"
"02	","004	","0000	","Tijuana"
"02	","004	","0001	","Tijuana"
"02	","004	","1883	","Villa del Campo"
"02	","004	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","004	","9999	","Localidad no especificada"
"02	","005	","0000	","Playas de Rosarito"
"02	","005	","0001	","Playas de Rosarito"
"02	","005	","0064	","Ladrillera Pescador"
"02	","005	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","005	","9999	","Localidad no especificada"
"02	","006	","0000	","San Quintín"
"02	","006	","0001	","San Quintín"
"02	","006	","0022	","Bahía de los Ángeles"
"02	","006	","0040	","Camalú"
"02	","006	","0122	","Ejido Profesor Graciano Sánchez"
"02	","006	","0224	","El Rosario de Abajo"
"02	","006	","0225	","El Rosario de Arriba"
"02	","006	","0585	","Lázaro Cárdenas"
"02	","006	","0863	","Vicente Guerrero"
"02	","006	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","006	","9999	","Localidad no especificada"
"02	","007	","0000	","San Felipe"
"02	","007	","0001	","San Felipe"
"02	","007	","0069	","Ejido Plan Nacional Agrario"
"02	","007	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","007	","9999	","Localidad no especificada"
"02	","999	","0000	","Municipio no especificado"
"02	","999	","9999	","Localidad no especificada"
"03	","000	","0000	","Baja California Sur"
"03	","001	","0000	","Comondú"
"03	","001	","0001	","Ciudad Constitución"
"03	","001	","0003	","Puerto Adolfo López Mateos"
"03	","001	","0133	","Ciudad Insurgentes"
"03	","001	","0244	","La Purísima"
"03	","001	","0280	","Puerto San Carlos"
"03	","001	","0380	","Villa Morelos"
"03	","001	","0387	","Villa Ignacio Zaragoza"
"03	","001	","0391	","Ley Federal de Aguas Número Dos"
"03	","001	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"03	","001	","9999	","Localidad no especificada"
"03	","002	","0000	","Mulegé"
"03	","002	","0001	","Santa Rosalía"
"03	","002	","0014	","Bahía Asunción"
"03	","002	","0015	","Bahía Tortugas"
"03	","002	","0066	","Guerrero Negro"
"03	","002	","0097	","Heroica Mulegé"
"03	","002	","0116	","Punta Abreojos"
"03	","002	","0149	","San Ignacio"
"03	","002	","0482	","Villa Alberto Andrés Alvarado Arámburo"
"03	","002	","0527	","Benito Juárez"
"03	","002	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"03	","002	","9999	","Localidad no especificada"
"03	","003	","0000	","La Paz"
"03	","003	","0001	","La Paz"
"03	","003	","0003	","Todos Santos"
"03	","003	","0219	","Las Pocitas"
"03	","003	","0336	","Agua Amarga"
"03	","003	","0392	","Los Barriles"
"03	","003	","0684	","El Pescadero"
"03	","003	","0697	","San Juan de los Planes"
"03	","003	","0766	","San Antonio"
"03	","003	","1630	","El Sargento"
"03	","003	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"03	","003	","9999	","Localidad no especificada"
"03	","008	","0000	","Los Cabos"
"03	","008	","0001	","San José del Cabo"
"03	","008	","0054	","Cabo San Lucas"
"03	","008	","0159	","Miraflores"
"03	","008	","0217	","La Ribera"
"03	","008	","0280	","Santiago"
"03	","008	","0593	","El Campamento"
"03	","008	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"03	","008	","9999	","Localidad no especificada"
"03	","009	","0000	","Loreto"
"03	","009	","0001	","Loreto"
"03	","009	","0222	","Puerto Agua Verde"
"03	","009	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"03	","999	","0000	","Municipio no especificado"
"03	","999	","9999	","Localidad no especificada"
"04	","000	","0000	","Campeche"
"04	","001	","0000	","Calkiní"
"04	","001	","0001	","Calkiní"
"04	","001	","0002	","Isla Arena"
"04	","001	","0004	","Bécal"
"04	","001	","0006	","San Agustín Chunhuás"
"04	","001	","0008	","Nunkiní"
"04	","001	","0010	","San Antonio Sahcabchén"
"04	","001	","0013	","Santa Cruz Pueblo"
"04	","001	","0015	","Tepakán"
"04	","001	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","001	","9999	","Localidad no especificada"
"04	","002	","0000	","Campeche"
"04	","002	","0001	","San Francisco de Campeche"
"04	","002	","0072	","Bolonchén Cahuich"
"04	","002	","0073	","Castamay"
"04	","002	","0077	","Chiná"
"04	","002	","0087	","Lerma"
"04	","002	","0090	","Nilchí"
"04	","002	","0091	","Nohakal"
"04	","002	","0096	","Pich"
"04	","002	","0101	","San Francisco Kobén"
"04	","002	","0104	","Tikinmul"
"04	","002	","0105	","Tixmucuy"
"04	","002	","0110	","Alfredo V. Bonfil"
"04	","002	","0263	","Quetzal Edzná"
"04	","002	","0312	","Kikab"
"04	","002	","0465	","Los Laureles"
"04	","002	","0840	","Sierra Verde de Cayal"
"04	","002	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","002	","9999	","Localidad no especificada"
"04	","003	","0000	","Carmen"
"04	","003	","0001	","Ciudad del Carmen"
"04	","003	","0005	","Nuevo Progreso"
"04	","003	","0006	","Atasta"
"04	","003	","0013	","Puerto Rico"
"04	","003	","0058	","Abelardo L. Rodríguez"
"04	","003	","0064	","Ignacio Gutiérrez"
"04	","003	","0081	","Chicbul"
"04	","003	","0101	","San Antonio Cárdenas"
"04	","003	","0118	","Nuevo Campechito"
"04	","003	","0199	","Isla Aguada"
"04	","003	","0262	","Colonia Emiliano Zapata"
"04	","003	","0364	","Independencia"
"04	","003	","0611	","Chekubul"
"04	","003	","0612	","La Cristalina"
"04	","003	","0614	","Sabancuy"
"04	","003	","1393	","San Antonio"
"04	","003	","1776	","Oxcabal"
"04	","003	","3217	","El Aguacatal"
"04	","003	","3263	","Conquista Campesina"
"04	","003	","3333	","Mamantel (Pancho Villa)"
"04	","003	","3395	","Licenciado Gustavo Díaz Ordaz (18 de Marzo)"
"04	","003	","3420	","Nueva Chontalpa"
"04	","003	","3635	","El Triunfo"
"04	","003	","3642	","Venustiano Carranza"
"04	","003	","3789	","El Carmen"
"04	","003	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","003	","9999	","Localidad no especificada"
"04	","004	","0000	","Champotón"
"04	","004	","0001	","Champotón"
"04	","004	","0003	","López Mateos (La Desconfianza)"
"04	","004	","0010	","Aquiles Serdán (Chuiná)"
"04	","004	","0014	","Hool"
"04	","004	","0016	","La Joya"
"04	","004	","0017	","Ciudad del Sol"
"04	","004	","0019	","Moquel"
"04	","004	","0024	","San Pablo Pixtún"
"04	","004	","0027	","Pustunich"
"04	","004	","0028	","Revolución"
"04	","004	","0036	","Sihochac"
"04	","004	","0047	","Xbacab"
"04	","004	","0051	","Yohaltún"
"04	","004	","0089	","Chac Chaito"
"04	","004	","0091	","Ley Federal de Reforma Agraria"
"04	","004	","0191	","Maya Tecún I"
"04	","004	","0192	","Maya Tecún II"
"04	","004	","0432	","Carrillo Puerto"
"04	","004	","0448	","Pixoyal"
"04	","004	","0564	","Santo Domingo Kesté"
"04	","004	","1603	","Miguel Colorado"
"04	","004	","1610	","General Ortiz Ávila"
"04	","004	","1754	","José María Morelos y Pavón"
"04	","004	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","004	","9999	","Localidad no especificada"
"04	","005	","0000	","Hecelchakán"
"04	","005	","0001	","Hecelchakán"
"04	","005	","0002	","Cumpich"
"04	","005	","0005	","Nohalal"
"04	","005	","0007	","Pomuch"
"04	","005	","0028	","Montebello"
"04	","005	","0045	","Yalnón Campo Cuatro"
"04	","005	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","005	","9999	","Localidad no especificada"
"04	","006	","0000	","Hopelchén"
"04	","006	","0001	","Hopelchén"
"04	","006	","0002	","Becanchén"
"04	","006	","0003	","Bolonchén de Rejón"
"04	","006	","0008	","Chencoh"
"04	","006	","0015	","Chunchintok"
"04	","006	","0017	","Chunyaxnic"
"04	","006	","0019	","Dzibalchén"
"04	","006	","0023	","Vicente Guerrero"
"04	","006	","0026	","Cancabchén"
"04	","006	","0027	","Katab"
"04	","006	","0041	","San Antonio Yaxché"
"04	","006	","0048	","Ukum"
"04	","006	","0056	","X-Canhá"
"04	","006	","0057	","Xmabén"
"04	","006	","0330	","Nuevo Progreso Campo Uno"
"04	","006	","0744	","Las Palmas"
"04	","006	","0769	","Las Flores Cinco"
"04	","006	","0773	","Las Flores Uno"
"04	","006	","0780	","La Nueva Trinidad Campo 2"
"04	","006	","0782	","La Nueva Trinidad Campo 1"
"04	","006	","0784	","Nuevo Durango Campo 1"
"04	","006	","0797	","El Temporal Campo 3"
"04	","006	","0800	","Santa Rosa [Campo Menonita]"
"04	","006	","0848	","Palmas Cuatro"
"04	","006	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","007	","0000	","Palizada"
"04	","007	","0001	","Palizada"
"04	","007	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","007	","9999	","Localidad no especificada"
"04	","008	","0000	","Tenabo"
"04	","008	","0001	","Tenabo"
"04	","008	","0002	","Emiliano Zapata"
"04	","008	","0005	","Tinún"
"04	","008	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","009	","0000	","Escárcega"
"04	","009	","0001	","Escárcega"
"04	","009	","0002	","División del Norte"
"04	","009	","0018	","La Asunción"
"04	","009	","0108	","Don Samuel"
"04	","009	","0147	","Francisco I. Madero"
"04	","009	","0163	","General Rodolfo Fierros"
"04	","009	","0178	","Haro"
"04	","009	","0238	","José de la Cruz Blanco"
"04	","009	","0242	","Justicia Social"
"04	","009	","0247	","Kilómetro Treinta y Seis"
"04	","009	","0252	","Kilómetro Setenta y Cuatro"
"04	","009	","0256	","La Libertad"
"04	","009	","0268	","Luna"
"04	","009	","0282	","Matamoros"
"04	","009	","0288	","Miguel Hidalgo (Caracol)"
"04	","009	","0536	","La Victoria"
"04	","009	","0865	","Nuevo Campeche (Tres Aguadas)"
"04	","009	","0936	","Altamira de Zináparo"
"04	","009	","0941	","Centenario"
"04	","009	","0963	","Laguna Grande"
"04	","009	","0967	","Miguel de la Madrid"
"04	","009	","1002	","Silvituc"
"04	","009	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"04	","009	","9999	","Localidad no especificada"
"04	","010	","0000	","Calakmul"
"04	","010	","0001	","Xpujil"
"04	","010	","0033	","Santo Domingo (El Sacrificio)"
"04	","010	","0060	","El Chichonal"
"04	","010	","0066	","Constitución"
"04	","010	","0068	","Cristóbal Colón"
"04	","010	","0091	","La Guadalupe"
